Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.000308697105859 Wewak Intl, Papua New Guinea
0.000306630137111 Kona Intl At Keahole, United States
0.000306371725216 Francisco Bangoy International, Philippines
0.000306173070378 Lourdes De Blanc Sablon Airport, Canada
0.000305346523651 St Marys Airport, United States
0.000304926820125 Jefman, Indonesia
0.000302817126988 Attawapiskat Airport, Canada
0.000302793504804 General Ignacio P Garcia Intl, Mexico
0.000302732327726 Sultan Ismail, Malaysia
0.00030248308691 Poretta, France
0.000302309614135 Igloolik Airport, Canada
0.000302269079619 Santiago, Spain
0.000301387553661 Qaarsut Airport, Greenland
0.000301195132946 Tirana Rinas, Albania
0.000300987959937 Heho, Burma
0.000300760279204 Ambouli International Airport, Djibouti
0.000300464042023 Cerro Moreno Intl, Chile
0.000300462031248 Salzburg, Austria
0.000299768517743 Prince George, Canada
0.000299483827922 Gnassingbe Eyadema Intl, Togo
0.000299107513952 Gerald R Ford Intl, United States
0.000298030365317 Rostov Na Donu, Russia
0.000297865554552 Broome, Australia
0.00029688329032 Kashechewan Airport, Canada
0.000296787346131 Deadhorse, United States
0.000296064053546 Dionysios Solomos, Greece
0.000295068610913 Carrasco Intl, Uruguay
0.000293765213078 Theodore Francis Green State, United States
0.000293426307443 Kalskag Airport, United States
0.000292172409493 Quanzhou Airport, China
0.000291928749157 Caye Caulker Airport, Belize
0.000291551878562 Leipzig Halle, Germany
0.000290547417358 Hay River, Canada
0.000290213722111 Treviso, Italy
0.000289728291712 Osh, Kyrgyzstan
0.000288558862408 La Grande Riviere, Canada
0.000287620322684 Albany Intl, United States
0.000287557349404 Sultan Syarif Kasim Ii, Indonesia
0.000287117743102 Saint Catherine, France
0.000286971908961 El Tari, Indonesia
